ID	Year	Title	Description	Inventor	Location	Dependencies	Field	URL	
tungsten	1783	Tungsten	A Spanish mineralogist discovered a new metal from a mineral named wolframite, identifying the metal as tungsten. This element has unique properties such as high density and robustness, significantly influencing the materials industry and various technological applications.	Don Fausto D'Elhuyar	Spain		Science		
volcanoes	1783	Volcanoes	The eruption of a volcano in Iceland in 1783 led to significant climate impact, causing severe cold and speculations on the relationship between volcanic ash and atmospheric cooling. This event highlighted the potential of volcanic activity to drastically affect earth's climate.	Benjamin Franklin (Hypothesis)	United States		Science		
bifocal-lenses	1784	Bifocal lenses	In 1784, to alleviate the inconvenience of switching different glasses, Benjamin Franklin invented bifocal lenses which combined two sets of corrective lenses for near and distant vision into one. This invention improved the quality of life for people with presbyopia and continues to be widely used today.	Benjamin Franklin	United States	concave-lenses	Design		
hydrogen-and-water	1784	Hydrogen and water	This was the discovery that when hydrogen is burned, it produces water. This finding further elucidated the composition of water, demonstrating the process in which hydrogen gas combined with oxygen to form water.	Henry Cavendish	England	hydrogen	Science		
martian-ice-caps	1784	Martian ice caps	It was observed that Mars has polar ice caps, drawing another parallel between Mars and Earth. The axial tilt of Mars was used to infer the presence of ice caps as these regions had visible ice, suggesting a climate phenomenon somewhat similar to Earth's.	William Herschel	England	mars-axial-tilt	Space		
alaska	1784	Alaska	Russians from Siberia, venturing eastward, found large numbers of sea otters, whose pelts proved very profitable, and for the next eighty years Russian holdings expanded until all of the present-day state of Alaska was part of the Russian Empire.		Russia	bering-strait	Geography		
tellurium	1782	Tellurium	Tellurium was discovered as a new chemical element during the examination of gold ore. It was initially confused with other elements, but upon further analysis, it was classified as a new element, contributing to the periodic table and chemical knowledge.	Franz Joseph Muller	Austria	chemical-elements	Science		
clusters-and-nebulas	1785	Clusters and nebulas	Nebulous objects in the sky not singular celestial bodies but tightly packed clusters of stars. Parts in the Milky Way that contained no stars, termed 'holes,' which allowed for viewing into starless space beyond.	William Herschel	England	nebulas	Space		
galaxy-observed	1785	Galaxy observed	The research defined the Milky Way as a lens-shaped collection of stars and was the first use of statistical methods in astronomy to estimate the shape of the star conglomerate we reside in, making it a foundational work for modern astronomy.	William Herschel	England	telescope, galaxy	Space		
uniformitarianism	1785	Uniformitarianism	James Hutton proposed that the age of the Earth could be understood through the slow and uniform processes of geological change, laying the groundwork for the science of geology by emphasizing the Earth's long history and gradual change.	James Hutton	England		Science		
popular-mountain-climbing	1786	Popular mountain climbing	Interest in climbing mountains for scientific study became more prevalent, with an emphasis on investigating the natural features, plants, and animals found in mountainous regions. Unlike the historical avoidance of mountains, this period marks the beginning of mountain climbing as an activity pursued for both knowledge and recreation.		Switzerland/France		Culture		
charles's-law	1787	Charles's law	Defines the direct relationship between the volume of a gas and its temperature, suggesting the concept of absolute zero.	Jacques Charles, Joseph Louis Gay-Lussac	France	gas-volume-temperature	Science		
chemical-nomenclature	1787	Chemical nomenclature	Standardization of chemical naming conventions, promoting clearer communication in the scientific community.	Antoine Lavoisier	France	alchemy	Science		
steamboat	1787	Steamboat	Steam engines were used to propel boats, allowing them to move against wind and current without the exertion of human muscle. These became fast water transport and played a vital role in the industrialization and commerce of its era.	John Fitch	United States	improved-steam-engine	General		
algebra-and-mechanics	1788	Algebra and mechanics	A significant advancement in the field of mechanics was published, which applied algebra and calculus to the field in a non-geometric method. This work allowed for the solving of mechanical problems through more general equations rather than solely relying on geometric principles.	Joseph-Louis Lagrange	France	analytic-geometry	Math		
chemical-affinities	1789	Affinities	Bergmann classified minerals to understand how various chemicals interact with one another, based on the concept of 'affinities'. His work included tables designed to predict whether certain chemical reactions would occur, thus pioneering a systematic approach to chemical behavior.	Torbern Olof Bergmann	Sweden		Science		
uranus-satellites	1789	Uranus satellites	New discoveries of the satellites of Saturn and Uranus expanded humankind's knowledge of our solar system, following a tradition of celestial observation established by earlier astronomers. These discoveries were made possible by improvements in telescopic technology.	William Herschel	England	saturn-satellites	Space		
acids	1789	Acids	Lavoisier had named the active portion of the atmosphere oxygen (acid-producer) because it was thought that all acids containe d oxygen, but he was proven wrong with the discovery of hydrocyanic and hydrosulfuric acid.	Claude-Louis Berthollet	France	oxygen	Science		
conservation-of-mass	1789	Conservation of mass	This principle established that in a closed system, mass is conserved regardless of the physical or chemical changes that occur. It has been a fundamental tenet of chemistry since its discovery.	Antoine Lavoisier	France	combustion-and-phlogiston-theory-refinement	Science		
uranium	1789	Uranium	A newly discovered chemical element, Uranium was initially named after the planet Uranus. It later became famed for its nuclear properties and is now widely recognized for its use as a source of concentrated energy in nuclear reactors and weapons.	Martin Heinrich Klaproth	Germany		Science		
industrial-revolution	1790	Industrial revolution	The Industrial Revolution in Great Britain was fueled by innovations such as advanced textile machinery, leading to significant economic growth. Blueprints of the new technology were tightly controlled, but knowledge transfer to the United States was achieved surreptitiously to bolster its economic independence.		England	spinning-frame	General		
